"","TeamPage","Rank","Name","Games","Wins","Losses","Ties","PointsFor","PointsAgainst","HE","SD","FE","SE"
"46","https://www.curlingzone.com/team.php?teamid=135320&profileid=&view=OOM&OOMweek=37#1",46,"Sean Grassie","61","35","26",NA,"7.05","6.98","0.36","0.26","0.55","0.25"
"47","https://www.curlingzone.com/team.php?teamid=138323&profileid=&view=OOM&OOMweek=37#1",47,"Jason Jacobson","50","30","20",NA,"7.59","6.49","0.41","0.19","0.53","0.28"
"48","https://www.curlingzone.com/team.php?teamid=135085&profileid=&view=OOM&OOMweek=37#1",48,"Mark Kean","51","26","25",NA,"7.02","6.97","0.36","0.25","0.59","0.2"
"49","https://www.curlingzone.com/team.php?teamid=134851&profileid=&view=OOM&OOMweek=37#1",49,"JT Ryan","49","29","20",NA,"7.94","6.3","0.35","0.27","0.5","0.33"
"50","https://www.curlingzone.com/team.php?teamid=136756&profileid=&view=OOM&OOMweek=37#1",50,"Ryan Wiebe","46","33","13",NA,"8.58","5.91","0.43","0.19","0.58","0.33"
"51","https://www.curlingzone.com/team.php?teamid=133998&profileid=&view=OOM&OOMweek=37#1",51,"Dominik Maerki","50","30","20",NA,"7.97","6.69","0.37","0.29","0.5","0.32"
"52","https://www.curlingzone.com/team.php?teamid=135600&profileid=&view=OOM&OOMweek=37#1",52,"Shaun Meachem","45","28","17",NA,"7.66","6.14","0.44","0.23","0.49","0.34"
"53","https://www.curlingzone.com/team.php?teamid=134264&profileid=&view=OOM&OOMweek=37#1",53,"Scott Dunnam","57","36","21",NA,"7.86","5.97","0.34","0.26","0.56","0.33"
"54","https://www.curlingzone.com/team.php?teamid=134219&profileid=&view=OOM&OOMweek=37#1",54,"James Pahl","31","23","8",NA,"7.9","6.55","0.4","0.24","0.59","0.22"
"55","https://www.curlingzone.com/team.php?teamid=134234&profileid=&view=OOM&OOMweek=37#1",55,"Wayne Tuck Jr.","42","23","19",NA,"7.39","7.26","0.4","0.28","0.56","0.25"
"56","https://www.curlingzone.com/team.php?teamid=136768&profileid=&view=OOM&OOMweek=37#1",56,"Dennis Bohn","42","24","18",NA,"8.32","6.51","0.44","0.22","0.56","0.3"
"57","https://www.curlingzone.com/team.php?teamid=136762&profileid=&view=OOM&OOMweek=37#1",57,"William Lyburn","47","27","20",NA,"7.4","6.61","0.38","0.26","0.49","0.27"
"58","https://www.curlingzone.com/team.php?teamid=134662&profileid=&view=OOM&OOMweek=37#1",58,"Chad Stevens","46","27","19",NA,"7.74","7.03","0.41","0.22","0.5","0.28"
"59","https://www.curlingzone.com/team.php?teamid=134944&profileid=&view=OOM&OOMweek=37#1",59,"Todd Birr","55","29","26",NA,"7.84","7.46","0.35","0.31","0.55","0.32"
"60","https://www.curlingzone.com/team.php?teamid=135431&profileid=&view=OOM&OOMweek=37#1",60,"Magnus Ramsfjell","32","20","12",NA,"8.44","6.61","0.39","0.25","0.58","0.31"
"61","https://www.curlingzone.com/team.php?teamid=134162&profileid=&view=OOM&OOMweek=37#1",61,"Aaron Sluchinski","33","22","11",NA,"7.52","6.34","0.37","0.26","0.56","0.27"
"62","https://www.curlingzone.com/team.php?teamid=137877&profileid=&view=OOM&OOMweek=37#1",62,"Lukas Klima","44","26","18",NA,"8.2","6.49","0.41","0.21","0.59","0.28"
"63","https://www.curlingzone.com/team.php?teamid=135676&profileid=&view=OOM&OOMweek=37#1",63,"Ty Dilello","50","23","27",NA,"6.63","6.99","0.32","0.3","0.56","0.23"
"64","https://www.curlingzone.com/team.php?teamid=135233&profileid=&view=OOM&OOMweek=37#1",64,"Luc Violette","57","35","22",NA,"8.24","6.86","0.42","0.23","0.53","0.28"
"65","https://www.curlingzone.com/team.php?teamid=134312&profileid=&view=OOM&OOMweek=37#1",65,"Stuart Thompson","49","26","23",NA,"7.4","6.84","0.36","0.23","0.56","0.28"
"66","https://www.curlingzone.com/team.php?teamid=136213&profileid=&view=OOM&OOMweek=37#1",66,"Brent Gedak","43","27","16",NA,"8.85","6.59","0.44","0.22","0.51","0.28"
"67","https://www.curlingzone.com/team.php?teamid=137022&profileid=&view=OOM&OOMweek=37#1",67,"James Grattan","41","26","15",NA,"7.63","6.09","0.43","0.2","0.58","0.25"
"68","https://www.curlingzone.com/team.php?teamid=134850&profileid=&view=OOM&OOMweek=37#1",68,"Martin Ferland","38","21","17",NA,"7.01","6.73","0.32","0.21","0.6","0.27"
"69","https://www.curlingzone.com/team.php?teamid=134482&profileid=&view=OOM&OOMweek=37#1",69,"Jason Camm","45","27","18",NA,"8.1","6.88","0.4","0.22","0.51","0.28"
"70","https://www.curlingzone.com/team.php?teamid=134694&profileid=&view=OOM&OOMweek=37#1",70,"Andrin Schnider","61","22","39",NA,"6.23","7.94","0.32","0.28","0.52","0.16"
"71","https://www.curlingzone.com/team.php?teamid=133908&profileid=&view=OOM&OOMweek=37#1",71,"Jeff Richard","47","26","21",NA,"8.47","6.79","0.39","0.21","0.54","0.3"
"72","https://www.curlingzone.com/team.php?teamid=133933&profileid=&view=OOM&OOMweek=37#1",72,"John Willsey","52","25","27",NA,"6.83","6.83","0.3","0.2","0.55","0.25"
"73","https://www.curlingzone.com/team.php?teamid=135694&profileid=&view=OOM&OOMweek=37#1",73,"Ted Appelman","33","21","12",NA,"7.92","6.25","0.4","0.14","0.55","0.24"
"74","https://www.curlingzone.com/team.php?teamid=134257&profileid=&view=OOM&OOMweek=37#1",74,"Carter Lautner","39","23","16",NA,"7.12","7.01","0.35","0.21","0.46","0.28"
"75","https://www.curlingzone.com/team.php?teamid=135495&profileid=&view=OOM&OOMweek=37#1",75,"Kody Hartung","44","23","21",NA,"6.68","6.71","0.29","0.25","0.51","0.3"
"76","https://www.curlingzone.com/team.php?teamid=134700&profileid=&view=OOM&OOMweek=37#1",76,"Daniel Magnusson","52","28","24",NA,"6.66","6.86","0.29","0.26","0.57","0.29"
"77","https://www.curlingzone.com/team.php?teamid=134562&profileid=&view=OOM&OOMweek=37#1",77,"Kendal Thompson","50","27","23",NA,"7.04","6.85","0.29","0.31","0.52","0.32"
"78","https://www.curlingzone.com/team.php?teamid=133974&profileid=&view=OOM&OOMweek=37#1",78,"Scott Jones","39","24","15",NA,"7.26","6.25","0.35","0.21","0.53","0.3"
"79","https://www.curlingzone.com/team.php?teamid=136333&profileid=&view=OOM&OOMweek=37#1",79,"Sean Geall","41","22","19",NA,"7.53","6.79","0.31","0.31","0.6","0.3"
"80","https://www.curlingzone.com/team.php?teamid=135464&profileid=&view=OOM&OOMweek=37#1",80,"Jed Brundidge","51","23","28",NA,"7.3","7.68","0.31","0.35","0.51","0.3"
"81","https://www.curlingzone.com/team.php?teamid=135270&profileid=&view=OOM&OOMweek=37#1",81,"Simon Gempeler","56","27","29",NA,"7.27","7.35","0.35","0.24","0.53","0.25"
"82","https://www.curlingzone.com/team.php?teamid=135385&profileid=&view=OOM&OOMweek=37#1",82,"Fredrik Nyman","45","21","24",NA,"6.78","7.38","0.33","0.3","0.52","0.26"
"83","https://www.curlingzone.com/team.php?teamid=135395&profileid=&view=OOM&OOMweek=37#1",83,"Jan Klossner","43","18","25",NA,"5.77","7.29","0.22","0.29","0.49","0.24"
"84","https://www.curlingzone.com/team.php?teamid=134875&profileid=&view=OOM&OOMweek=37#1",84,"SooHyuk Kim","21","11","10",NA,"7.19","7.02","0.4","0.14","0.49","0.22"
"85","https://www.curlingzone.com/team.php?teamid=135916&profileid=&view=OOM&OOMweek=37#1",85,"Daniel Wenzek","38","20","18",NA,"7.32","6.91","0.3","0.27","0.57","0.29"
"86","https://www.curlingzone.com/team.php?teamid=133979&profileid=&view=OOM&OOMweek=37#1",86,"Jean-Sebastien Roy","47","20","27",NA,"7.13","7.86","0.34","0.33","0.49","0.28"
"87","https://www.curlingzone.com/team.php?teamid=135360&profileid=&view=OOM&OOMweek=37#1",87,"Richard Krell","32","19","13",NA,"7.42","6.4","0.41","0.19","0.51","0.29"
"88","https://www.curlingzone.com/team.php?teamid=135399&profileid=&view=OOM&OOMweek=37#1",88,"Marc Muskatewitz","45","22","23",NA,"7.47","7.78","0.38","0.29","0.48","0.25"
"89","https://www.curlingzone.com/team.php?teamid=134541&profileid=&view=OOM&OOMweek=37#1",89,"Brent MacDougall","39","19","20",NA,"7.08","7.53","0.38","0.3","0.56","0.26"
